LoanX ID,LCD ID,Issuer,Deal Name,Facility,Industry,Current SP Rating,Current Moodys Rating,Initial Amount,Final Maturity,Initial Spread,Bid,Offer,Depth,Spread To Maturity
"LX150434","","CNT HLDGS III CORP","1-800 Contacts 1/16","RC","Healthcare","","","80","01/22/2021","425","94.717","96.029","implied","1597.8"
"LX158764","","CNT HLDGS III CORP","1-800 Contacts 1/17","TL","Healthcare","","","496.25","01/22/2023","325","97.844","99.156","4","477.6"
"LX127712","","1105 Media Inc","1105 Media 11/12","TL","Professional & Business Services","","","62.5","11/30/2017","550","90","92","1",""
"LX173633","","24 HOUR FITNESS WORLDWIDE INC","24 Hour Fitness 5/18 Cov-Lite","RC","Healthcare","","","120","05/31/2023","350","24","31.5","2","6196.9"
"LX173632","","24 HOUR FITNESS WORLDWIDE INC","24 Hour Fitness 5/18 Cov-Lite","TLB","Healthcare","","","850","05/30/2025","350","21.75","25","5","4393.7"
"LX188795","","24 HOUR FITNESS WORLDWIDE INC","24 Hour Fitness 6/20 DIP New Money Cov-Lite","TL","Healthcare","","","200","06/17/2021","1000","94","98","1","1813.7"
"LX175408","","Intouch Midco Inc","24-7 Intouch 8/18 Cov-Lite","RC","Professional & Business Services","","","80","08/24/2023","425","88.873","91.873","implied","844.9"
"LX175406","","Intouch Midco Inc","24-7 Intouch 8/18 Cov-Lite","TL","Professional & Business Services","","","320","08/25/2025","475","92","95","1","667.6"
"LX179332","","365 OPER CO LLC","365 Operating 3/19","TL","Computers & Electronics","","","42","03/13/2025","475","97","98","1","556.9"
"LX179333","","365 OPER CO LLC","365 Operating 3/19 DDTL1","Delayed TL","Computers & Electronics","","","10","03/13/2025","475","97","98","1","556.9"
"LX179334","","365 OPER CO LLC","365 Operating 3/19 DDTL2","Delayed TL","Computers & Electronics","","","20","03/13/2025","450","97","98","1","531.2"
"LX185799","","4L HLDGS CORP","4L Technologies 2/20 ","Equity","Computers & Electronics","","","","","","4","6","1",""
"LX185696","","4L HLDGS CORP","4L Technologies 2/20 Take back Cov-Lite","TL","Computers & Electronics","","","80","02/05/2024","750","86","88.813","4","1365.1"
"LX183732","","84 LMBR CO","84 Lumber 11/19","TL","Forest Products","","","310","11/06/2026","425","98.792","99.542","3","518.1"
"LX175828","","8th Ave Food Provisions Inc","8th Avenue Food 10/18 2nd Lien Cov-Lite","TL","Food And Beverage","","","100","10/01/2026","775","95.5","97.833","3","877"
"LX175973","","8th Ave Food Provisions Inc","8th Avenue Food 10/18 Cov-Lite","RC","Food And Beverage","","","150","10/01/2023","375","94.415","95.665","implied","573.4"
"LX175827","","8th Ave Food Provisions Inc","8th Avenue Food 10/18 Cov-Lite","TL","Food And Beverage","","","525","10/01/2025","375","97.813","98.813","4","394.2"
"LX169771","","99 CENTS ONLY STORES","99 Cents Only Stores 11/17 Cov-Lite","TL","Retailing","","","433.99","01/13/2022","650","90.188","92.063","4","1491"
"LX167061","","A PLACE FOR MOM INC","A Place for Mom 8/17","RC","Not For Profit","","","20","08/10/2022","375","86.873","89.873","implied","1104.6"
"LX167060","","A PLACE FOR MOM INC","A Place for Mom 8/17","TL","Not For Profit","","","189.2","08/10/2024","375","90","93","1","752.7"
"LX163024","","LSF9 ATLANTIS HLDGS LLC","A Wireless 5/17","TL","Retailing","","","635","05/01/2023","600","85.15","88.975","5","1385"
"LX142999","","A & A MANUFACTURING","A&A Manufacturing 8/14","TL","Manufacturing","","","","","","93","94","1",""
