LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX010053","2020-08-28","0.5","1.5","1","1","0.5","1.5","2020-08-28","N"
"LX051868","2020-08-28","0.01","0.01","1","0.01","0.01","0.01","2020-08-28","N"
"LX055482","2020-08-28","3","5","1","4","3","5","2020-08-28","N"
"LX059053","2020-08-28","55","65","1","60","55","65","2020-08-28","N"
"LX059054","2020-08-28","55","65","1","60","55","65","2020-08-28","N"
"LX063408","2020-08-28","83.5","91","2","87.25","83.5","91","2020-08-28","N"
"LX063449","2020-08-28","3","5","1","4","3","5","2020-08-28","N"
"LX063451","2020-08-28","3","5","1","4","3","5","2020-08-28","N"
"LX064071","2020-08-28","3","5","1","4","3","5","2020-08-28","N"
"LX064073","2020-08-28","3","5","1","4","3","5","2020-08-28","N"
"LX064209","2020-08-28","55","65","1","60","55","65","2020-08-28","N"
"LX066305","2020-08-28","55","65","1","60","55","65","2020-08-28","N"
"LX075169","2020-08-28","3.117","5.117","3","4.117","3.117","5.117","2020-08-28","N"
"LX076589","2020-08-28","3.117","5.117","3","4.117","3.117","5.117","2020-08-28","N"
"LX076609","2020-08-28","3.117","5.117","3","4.117","3.117","5.117","2020-08-28","N"
"LX080895","2020-08-28","20.833","23.167","3","22","20.833","23.167","2020-08-28","N"
"LX082074","2020-08-28","0.5","0.6","1","0.55","0.5","0.6","2020-08-28","N"
"LX089999","2020-08-28","45","55","1","50","45","55","2020-08-28","N"
"LX103169","2020-08-28","16","18","1","17","16","18","2020-08-28","N"
"LX105656","2020-08-28","0.85","1.05","1","0.95","0.85","1.05","2020-08-28","N"
"LX112434","2020-08-28","5.5","8","2","6.75","5.5","8","2020-08-28","N"
"LX112435","2020-08-28","5.5","8","2","6.75","5.5","8","2020-08-28","N"
"LX112792","2020-08-28","5.5","9","2","7.25","5.5","9","2020-08-28","N"
"LX113317","2020-08-28","4","6","1","5","4","6","2020-08-28","N"
"LX113470","2020-08-28","0.8","1.05","1","0.925","0.8","1.05","2020-08-28","N"
"LX113583","2020-08-28","0.8","1.05","1","0.925","0.8","1.05","2020-08-28","N"
